Encounter,Beach LB,Beach UB,Jungle - No Undead LB,Jungle - No Undead UB,Jungle - Lesser Undead LB,Jungle - Lesser Undead UB,Jungle - Greater Undead LB,Jungle - Greater Undead UB,Mountains LB,Mountains UB,Rivers/Lake LB,Rivers/Lake UB,Ruins LB,Ruins UB,Swamp LB,Swamp UB,Wasteland LB,Wasteland UB
Night hag,,,74,,42,,,,71,73,,,61,,71,,72,78
Pterafolk,,,75,,43,44,26,,74,80,71,72,,,,,,
Rare plant(s),,,76,,45,,27,,,,73,,62,,72,,,
Red Wizard,72,74,77,,46,,28,,81,,74,,63,,,,,
Salamander,,,,,,,,,,,,,,,,,,
Sea hags,75,84,,,,,,,,,75,76,,,,,,
Shambling mound,,,,,,,,,,,,,,,73,76,,
"Snake, constrictor",,,78,79,47,48,29,31,,,77,79,,,77,80,,
"Snake, giant constrictor",,,80,,49,,32,,,,80,,,,81,82,,
"Snake, giant poisonous",,,81,,50,,33,,82,84,,,64,66,,,,
Spiders,,,82,,51,52,34,36,,,,,67,68,,,,
Statue of Ubtao,,,83,85,53,55,37,40,,,81,,69,73,83,85,79,
Stirges,85,87,86,,56,57,41,44,85,87,82,83,74,75,86,87,,
Su-monsters,,,87,,58,59,45,,,,,,,,,,,
Swarms of bats,88,89,88,,60,62,46,,88,90,,,76,77,88,89,,
Swarms of insects,,,89,,63,65,47,49,,,84,85,,,90,94,,
Swarms of quippers,,,,,,,,,,,86,91,,,,,,
Tabaxi hunter,90,94,90,,,,,,91,92,92,93,78,,,,,
Tiger,,,91,,,,,,,,,,,,,,,
Tri-flower frond,95,100,92,,66,,50,,,,,,79,80,,,,
Troll,,,,,67,,51,,93,97,,,81,,,,80,83
"Undead, ghouls",,,,,68,72,52,63,,,94,,82,84,95,,84,85
"Undead, skeletons",,,,,73,77,64,67,,,95,,85,87,96,97,86,95
"Undead, specter",,,,,78,79,68,70,,,,,88,89,,,,
"Undead, wight",,,,,80,,71,73,,,,,90,91,,,96,97
"Undead, zombies",,,,,81,89,74,85,,,96,,92,93,98,,98,
Vegepygmies,,,93,,90,91,86,87,,,,,,,,,,
Wereboar,,,94,,92,,88,89,98,100,,,,,,,,
Weretiger,,,95,,93,,90,91,,,,,94,,,,,
Winterscape,,,96,,94,,92,,,,,,95,,,,,
Yellow musk creeper and zombies,,,97,,95,96,93,96,,,,,96,,99,,,
Yuan-ti,,,98,,97,98,97,98,,,97,98,97,98,100,,,
Zhentarim,,,99,,99,,,,,,99,100,99,100,,,99,100
Zorbos,,,100,,100,,99,100,,,,,,,,,,
